first_user_source,first_user_medium,observed_users,purchasing_users,purchase_events,purchase_revenue_usd
google,organic,30440,395,512,37360.0
(direct),(none),22795,348,438,31133.0
<Other>,<Other>,14653,175,250,14795.0
<Other>,referral,9971,163,202,15094.0
shop.googlemerchandisestore.com,referral,8448,197,248,17649.0
(data deleted),(data deleted),6629,233,301,21826.0
google,cpc,4421,52,61,3237.0
<Other>,organic,2886,30,37,2933.0
<Other>,(data deleted),160,5,5,233.0
(data deleted),referral,2,0,0,0.0
