product_name,category,units_sold,purchasing_users,product_revenue_usd
Google Zip Hoodie F/C,Apparel,128,93,6564.0
Google Badge Heavyweight Pullover Black,Apparel,123,84,5952.0
Google Men's Tech Fleece Grey,Apparel,62,39,4654.0
Super G Unisex Joggers,Shop by Brand,129,95,3975.0
Google F/C Longsleeve Charcoal,Apparel,143,86,3630.0
Google Crewneck Sweatshirt Green,Apparel,72,56,3245.0
Google Women's Puff Jacket Black,Apparel,29,21,2714.0
Google Navy Speckled Tee,Apparel,109,73,2706.0
Google Men's Puff Jacket Black,Apparel,24,19,2438.0
Google Sherpa Zip Hoodie Navy,Apparel,42,37,2338.0
